1,1,53.68,60.67,121.66999999999999,58.44,1,1,1.0
1,2,313.9,0.0,396.06000000000006,112.9,1,1,1.0
1,3,96.79,0.0,219.60999999999996,63.07,1,1,1.0
1,4,0.0,13.32,17.8,33.35,1,1,1.0
2,1,34.3,58.1,119.25000000000001,56.699999999999996,1,1,1.0
2,2,314.36,0.0,394.24,112.44,1,1,1.0
2,3,97.0,0.0,219.60000000000002,63.07,1,1,1.0
2,4,0.0,13.32,10.3,33.35,1,1,1.0
3,1,19.52,55.3,114.48,55.510000000000005,1,1,1.0
3,2,313.88,0.0,394.24,112.42,1,1,1.0
3,3,97.2,0.0,219.2,63.07,1,1,1.0
3,4,0.0,13.32,4.0,33.35,1,1,1.0
4,1,4.19,52.43,108.71000000000001,54.57,1,1,1.0
4,2,313.4,0.0,394.24,112.4,1,1,1.0
4,3,97.2,0.0,218.35000000000002,63.07,1,1,1.0
5,1,0.0,50.1,95.7,53.46999999999999,1,1,1.0
5,2,313.4,0.0,394.24,112.5,1,1,1.0
5,3,97.2,0.0,217.5,63.07,1,1,1.0
6,1,0.0,47.4,78.5,51.6,1,1,1.0
6,2,313.4,0.0,393.59000000000003,112.5,1,1,1.0
6,3,97.2,0.0,217.5,63.07,1,1,1.0
7,1,0.0,43.8,61.3,51.400000000000006,1,1,1.0
7,2,313.4,0.0,392.95000000000005,112.5,1,1,1.0
7,3,97.2,0.0,217.5,63.07,1,1,1.0
8,1,0.0,42.2,44.1,49.8,1,1,1.0
8,2,313.4,0.0,392.30000000000007,112.5,1,1,1.0
8,3,97.2,0.0,217.5,63.07,1,1,1.0
9,1,0.0,42.2,26.9,42.099999999999994,1,1,1.0
9,2,313.4,0.0,391.0,112.5,1,1,1.0
9,3,97.2,0.0,217.5,63.07,1,1,1.0
10,1,0.0,45.2,11.6,35.5,1,1,1.0
10,2,313.4,0.0,389.70000000000005,112.5,1,1,1.0
10,3,97.2,0.0,217.5,63.07,1,1,1.0
10,5,919.5,187.9,40.5,83.4,1,1,1.0
11,2,313.4,0.0,389.70000000000005,112.32,1,1,1.0
11,3,97.2,0.0,217.5,63.07,1,1,1.0
11,5,870.8,181.5,89.20000000000005,89.80000000000001,1,1,1.0
12,2,313.4,0.0,389.70000000000005,112.15,1,1,1.0
12,3,97.2,0.0,217.5,63.07,1,1,1.0
12,5,823.3,170.0,136.70000000000005,96.19999999999999,1,1,1.0
